localidade = Maracanau,", latitude = -3.875",", longitude = -38.625"
data,ief,dvc,dec,ddc
1960-01-01,12.845,12.14,6.1670003,3.9500003
1960-01-02,13.244,12.566001,6.3510003,4.1530004
1960-01-03,13.2960005,12.620001,6.3750005,4.178
1960-01-04,13.3220005,12.646001,6.387,4.189
1960-01-05,12.906,12.198001,6.195,3.9720001
1960-01-06,12.983001,12.278001,6.2300005,4.0090003
1960-01-07,12.549001,11.81,6.0290003,3.785
1960-01-08,13.394001,12.713,6.418,4.215
1960-01-09,13.992001,13.352,6.6940002,4.526
1960-01-10,13.528001,12.852,6.479,4.2780004
1960-01-11,14.132001,13.497001,6.7580004,4.5940003
1960-01-12,13.679001,13.007001,6.5480003,4.3500004
1960-01-13,13.866001,13.204,6.6340003,4.4440002
1960-01-14,14.466001,13.844001,6.9100003,4.761
1960-01-15,14.418,13.790001,6.8870006,4.7310004
1960-01-16,14.243001,13.598001,6.806,4.631
1960-01-17,14.7300005,14.115001,7.03,4.888
1960-01-18,14.997001,14.397,7.1520004,5.0280004
1960-01-19,15.186001,14.595,7.2390003,5.1250005
1960-01-20,15.118001,14.516001,7.2060003,5.0800004
1960-01-21,15.085001,14.476001,7.1910005,5.0550003
1960-01-22,14.808001,14.174001,7.063,4.8970003
1960-01-23,14.944,14.314001,7.1250005,4.964
1960-01-24,15.009001,14.379001,7.1540003,4.993
1960-01-25,15.075001,14.444,7.1830006,5.0220003
1960-01-26,15.866001,15.286,7.5460005,5.453
1960-01-27,15.723001,15.127001,7.4800005,5.3650002
1960-01-28,15.799001,15.203001,7.5140004,5.4
1960-01-29,15.094001,14.442,7.189,5.0030003
1960-01-30,14.6710005,13.983001,6.9940004,4.768
1960-01-31,14.740001,14.052001,7.025,4.7980003
1960-02-01,16.295,15.711,7.7380004,5.6480002
1960-02-02,15.181001,14.512001,7.2250004,5.0220003
1960-02-03,15.595,14.950001,7.4140005,5.242
1960-02-04,15.335001,14.665001,7.294,5.092
1960-02-05,15.182001,14.496,7.2230005,5.0020003
1960-02-06,14.6,13.868001,6.9540005,4.683
1960-02-07,15.293001,14.603001,7.2720003,5.0480003
1960-02-08,14.941001,14.221001,7.109,4.852
1960-02-09,15.024001,14.303,7.1460004,4.8890004
1960-02-10,15.578001,14.89,7.399,5.183
1960-02-11,18.036001,17.513,8.524,6.5750003
1960-02-12,17.664001,17.109001,8.352,6.3480005
1960-02-13,16.219,15.558001,7.689,5.5160003
1960-02-14,16.404001,15.749001,7.7720003,5.6130004
1960-02-15,15.879001,15.182001,7.53,5.315
1960-02-16,15.613001,14.896001,7.4070005,5.17
1960-02-17,15.905001,15.205001,7.5390005,5.3300004
1960-02-18,16.127,15.439001,7.6380005,5.452
1960-02-19,16.092001,15.399001,7.6200004,5.433
1960-02-20,16.223001,15.537001,7.6790004,5.5070004
1960-02-21,16.386002,15.708001,7.7510004,5.598
1960-02-22,16.363,15.682001,7.7390003,5.5860004
1960-02-23,16.394001,15.713,7.7510004,5.6050005
1960-02-24,16.822,16.167,7.9440002,5.847
1960-02-25,16.188002,15.488001,7.6520004,5.493
1960-02-26,15.015,14.237,7.1150002,4.8560004
1960-02-27,16.193,15.491001,7.6510005,5.499
1960-02-28,16.184,15.479001,7.6450005,5.4960003
1960-02-29,16.319,15.621,7.7040005,5.5740004
1960-03-01,16.745,16.073,7.8960004,5.8160005
1960-03-02,16.703001,16.027,7.8750005,5.7960005
1960-03-03,16.75,16.075,7.8940005,5.8250003
1960-03-04,16.445002,15.749001,7.7530003,5.656
1960-03-05,17.337,16.697,8.157001,6.169
1960-03-06,16.6,15.911001,7.8190002,5.7510004
1960-03-07,16.916,16.245,7.9600005,5.9350004
1960-03-08,17.607,16.980001,8.273001,6.339
1960-03-09,16.816,16.137001,7.9100003,5.887
1960-03-10,16.106,15.3810005,7.5840006,5.491
1960-03-11,15.910001,15.173,7.4930005,5.387
1960-03-12,15.150001,14.366001,7.1450005,4.9760003
1960-03-13,15.001,14.207001,7.0750003,4.901
1960-03-14,15.616001,14.859001,7.352,5.2400002
1960-03-15,15.7300005,14.9800005,7.4020004,5.309
1960-03-16,15.632001,14.873001,7.3550005,5.254
1960-03-17,16.295,15.573001,7.655,5.624
1960-03-18,16.292002,15.566001,7.6510005,5.623
1960-03-19,16.064001,15.3220005,7.5460005,5.4960003
1960-03-20,16.16,15.4210005,7.5870004,5.55
1960-03-21,15.991001,15.239,7.5080004,5.4570003
1960-03-22,16.235,15.495001,7.6170006,5.5950003
1960-03-23,15.637001,14.860001,7.3440003,5.2640004
1960-03-24,15.934001,15.1710005,7.4760003,5.4300003
1960-03-25,15.866001,15.098001,7.4430003,5.3950005
1960-03-26,15.869,15.098001,7.4420004,5.399
1960-03-27,15.668001,14.883,7.3490005,5.2900004
1960-03-28,16.362001,15.616001,7.662,5.681
1960-03-29,16.127,15.365001,7.5530005,5.551
1960-03-30,15.521001,14.723001,7.2760005,5.2180004
1960-03-31,15.273001,14.459001,7.162,5.085
1960-04-01,15.422001,14.616001,7.227,5.17
1960-04-02,15.121,14.297001,7.089,5.01
1960-04-03,14.920001,14.083001,6.9960003,4.905
1960-04-04,15.232,14.412001,7.135,5.078
1960-04-05,15.136001,14.309001,7.089,5.03
1960-04-06,14.604001,13.748001,6.846,4.747
1960-04-07,14.242001,13.366,6.681,4.5600004
1960-04-08,14.863001,14.019001,6.959,4.8960004
1960-04-09,14.391001,13.521001,6.7440004,4.6470003
1960-04-10,13.893001,12.997001,6.5160003,4.3900003
1960-04-11,14.576001,13.716001,6.8230004,4.756
1960-04-12,14.067,13.179001,6.591,4.491
1960-04-13,14.139001,13.255001,6.622,4.5340004
1960-04-14,14.330001,13.457001,6.7060003,4.6410003
1960-04-15,14.1380005,13.255001,6.617,4.544
1960-04-16,14.351001,13.4800005,6.7110004,4.6660004
1960-04-17,14.386001,13.519001,6.7250004,4.6940002
1960-04-18,13.747001,12.85,6.4340005,4.3650002
1960-04-19,13.688001,12.790001,6.405,4.342
1960-04-20,13.5060005,12.601001,6.321,4.257
1960-04-21,12.751,11.811001,5.978,3.8780003
1960-04-22,12.487,11.537001,5.8570004,3.7540002
1960-04-23,12.476001,11.528001,5.8500004,3.7560003
1960-04-24,12.653001,11.716001,5.9280005,3.8530002
1960-04-25,12.836,11.911,6.0080004,3.9550002
1960-04-26,12.929001,12.011001,6.0480003,4.011
1960-04-27,12.211,11.262,5.722,3.657
1960-04-28,12.328001,11.386001,5.7730002,3.7230003
1960-04-29,12.18,11.234,5.7040005,3.657
1960-04-30,12.062,11.114,5.65,3.607
1960-05-01,12.404,11.474001,5.801,3.7860003
1960-05-02,12.210001,11.275001,5.7120004,3.6970003
1960-05-03,12.76,11.852,5.9570003,3.9850001
1960-05-04,12.476001,11.558001,5.828,3.8480003
1960-05-05,12.209001,11.282001,5.7060003,3.7210002
1960-05-06,11.607,10.656,5.433,3.4290001
1960-05-07,11.938001,11.005,5.5810003,3.6020002
1960-05-08,11.93,11.000001,5.5750003,3.6060002
1960-05-09,11.978001,11.052001,5.5950003,3.637
1960-05-10,11.795001,10.864,5.511,3.5540001
1960-05-11,11.436001,10.493,5.348,3.384
1960-05-12,11.532001,10.596001,5.3900003,3.4390001
1960-05-13,11.216001,10.269,5.2460003,3.2910001
1960-05-14,11.444,10.51,5.347,3.41
1960-05-15,11.944,11.034,5.57,3.6680002
1960-05-16,11.471001,10.543,5.3560004,3.4370003
1960-05-17,11.3550005,10.424001,5.302,3.3850002
1960-05-18,11.312,10.3810005,5.282,3.3690002
