yyyy;mm;dd;date;uvief;uvdef;uvdvf;uvddf;ozone
1971;1;1;1971-01-01;11870.91348;5690.96598;11082.25238;3494.45557;2699.97028
1971;1;2;1971-01-02;12551.41198;6004.12296;11806.81034;3830.80444;2599.70894
1971;1;3;1971-01-03;11257.64923;5409.63564;10424.19002;3192.53369;2810.47760
1971;1;4;1971-01-04;10786.92429;5192.62604;9919.96122;2967.68917;2902.05800
1971;1;5;1971-01-05;11824.42721;5670.16472;11023.03948;3459.31613;2723.68160
1971;1;6;1971-01-06;12443.14609;5954.58596;11680.75102;3762.72205;2631.70426
1971;1;7;1971-01-07;12724.22477;6083.49696;11978.07838;3900.98003;2595.29986
1971;1;8;1971-01-08;11952.74432;5728.87374;11151.45221;3511.37148;2716.73106
1971;1;9;1971-01-09;11618.62747;5575.34371;10792.33270;3344.99654;2776.89880
1971;1;10;1971-01-10;12125.22232;5807.94867;11329.20687;3587.91167;2700.06946
1971;1;11;1971-01-11;11468.95463;5506.09750;10626.58041;3265.99838;2814.11920
1971;1;12;1971-01-12;11004.19152;5292.35307;10127.47092;3042.56412;2903.76600
1971;1;13;1971-01-13;11527.70144;5532.64951;10682.05030;3285.92002;2815.52880
1971;1;14;1971-01-14;12424.33725;5944.13016;11634.63197;3719.49895;2676.90640
1971;1;15;1971-01-15;12732.43900;6085.64377;11959.62252;3868.88339;2637.06200
1971;1;16;1971-01-16;13087.70813;6248.75260;12335.95845;4046.12113;2592.05466
1971;1;17;1971-01-17;13642.82036;6502.95926;12925.05626;4329.47376;2523.08414
1971;1;18;1971-01-18;13761.09155;6557.11091;13047.29064;4386.59393;2513.26400
1971;1;19;1971-01-19;13225.64538;6310.75715;12472.04901;4103.54832;2588.88640
1971;1;20;1971-01-20;14377.03477;6838.58693;13698.32598;4705.17005;2448.99946
1971;1;21;1971-01-21;12929.80160;6173.92019;12149.12164;3943.58159;2642.05360
1971;1;22;1971-01-22;13656.33544;6507.63191;12921.54250;4313.32808;2549.05680
1971;1;23;1971-01-23;13310.15696;6347.78827;12548.07737;4129.16162;2600.66160
1971;1;24;1971-01-24;12530.53998;5990.23317;11712.73173;3730.88318;2719.27400
1971;1;25;1971-01-25;12286.89213;5877.88085;11450.14069;3606.63445;2763.10360
